Id;Code;Name
649;3520;Zonhoven
650;3530;Helchteren
651;3530;Houthalen
652;3530;Houthalen-Helchteren
653;3540;Berbroek
654;3540;Donk
655;3540;Herk-de-Stad
656;3540;Schulen
657;3545;Halen
658;3545;Loksbergen
659;3545;Zelem
660;3550;Heusden (Limb.)
661;3550;Heusden-Zolder
662;3550;Zolder
663;3560;Linkhout
664;3560;Lummen
665;3560;Meldert (Limb.)
666;3570;Alken
667;3580;Beringen
668;3581;Beverlo
669;3582;Koersel
670;3583;Paal
671;3590;Diepenbeek
672;3600;Genk
673;3620;Gellik
674;3620;Lanaken
675;3620;Neerharen
676;3620;Veldwezelt
677;3621;Rekem
678;3630;Eisden
679;3630;Leut
680;3630;Maasmechelen
681;3630;Mechelen-aan-de-Maas
682;3630;Meeswijk
683;3630;Opgrimbie
684;3630;Vucht
685;3631;Boorsem
686;3631;Uikhoven
687;3640;Kessenich
688;3640;Kinrooi
689;3640;Molenbeersel
690;3640;Ophoven
691;3650;Dilsen-Stokkem
692;3650;Elen
693;3650;Lanklaar
694;3650;Rotem
695;3650;Stokkem
696;3660;Opglabbeek
697;3665;As
698;3668;Niel-bij-As
699;3670;Ellikom
700;3670;Gruitrode
701;3670;Meeuwen
702;3670;Meeuwen-Gruitrode
703;3670;Neerglabbeek
704;3670;Wijshagen
705;3680;Maaseik
706;3680;Neeroeteren
707;3680;Opoeteren
708;3690;Zutendaal
709;3700;Berg (Limb.)
710;3700;Diets-Heur
711;3700;Haren (Tongeren)
712;3700;Henis
713;3700;Kolmont (Tongeren)
714;3700;Koninksem
715;3700;Lauw
716;3700;Mal
717;3700;Neerrepen
718;3700;Nerem
719;3700;Overrepen (Kolmont)
720;3700;Piringen (Haren)
721;3700;Riksingen
722;3700;Rutten
723;3700;'s Herenelderen
724;3700;Sluizen
725;3700;Tongeren
726;3700;Vreren
727;3700;Widooie (Haren)
728;3717;Herstappe
729;3720;Kortessem
730;3721;Vliermaalroot
731;3722;Wintershoven
732;3723;Guigoven
733;3724;Vliermaal
734;3730;Hoeselt
735;3730;Romershoven
736;3730;Sint-Huibrechts-Hern
737;3730;Werm
738;3732;Schalkhoven
739;3740;Beverst
740;3740;Bilzen
741;3740;Eigenbilzen
742;3740;Grote-Spouwen
743;3740;Hees
744;3740;Kleine-Spouwen
745;3740;Mopertingen
746;3740;Munsterbilzen
747;3740;Rijkhoven
748;3740;Rosmeer
749;3740;Spouwen
750;3740;Waltwilder
751;3742;Martenslinde
752;3746;Hoelbeek
753;3770;Genoelselderen
754;3770;Herderen
755;3770;Kanne
756;3770;Membruggen
757;3770;Millen
758;3770;Riemst
759;3770;Val-Meer
760;3770;Vlijtingen
761;3770;Vroenhoven
762;3770;Zichen-Zussen-Bolder
763;3790;Fourons
764;3790;Fouron-Saint-Martin
765;3790;Moelingen
766;3790;Mouland
767;3790;Sint-Martens-Voeren
768;3790;Voeren
769;3791;Remersdaal
770;3792;Fouron-Saint-Pierre
771;3792;Sint-Pieters-Voeren
772;3793;Teuven
773;3798;Fouron-le-Comte
774;3798;'s Gravenvoeren
775;3800;Aalst (Limb.)
776;3800;Brustem
777;3800;Engelmanshoven
778;3800;Gelinden
779;3800;Groot-Gelmen
780;3800;Halmaal
781;3800;Kerkom-bij-Sint-Truiden
782;3800;Ordingen
783;3800;Sint-Truiden
784;3800;Zepperen
785;3803;Duras
786;3803;Gorsem
787;3803;Runkelen
788;3803;Wilderen
789;3806;Velm
790;3830;Berlingen
791;3830;Wellen
792;3831;Herten
793;3832;Ulbeek
794;3840;Bommershoven (Haren)
795;3840;Borgloon
796;3840;Broekom
797;3840;Gors-Opleeuw
798;3840;Gotem
799;3840;Groot-Loon
800;3840;Haren (Borgloon)
801;3840;Hendrieken
802;3840;Hoepertingen
803;3840;Jesseren (Kolmont)
804;3840;Kerniel
805;3840;Kolmont (Borgloon)
806;3840;Kuttekoven
807;3840;Rijkel
808;3840;Voort
809;3850;Binderveld
810;3850;Kozen
